scheme,utility_scale,mean_nsr,mean_overlap1,mean_overlap3,mean_overlap5,mean_overlap10,mean_mrr5,mean_pearson,mean_drift,max_drift,mean_direction_cosine,dp_noise_time,mean_raw_retrieval_time,mean_noised_retrieval_time,mean_sigma,max_sigma,mean_sigma_per_dim,mean_epsilon,min_epsilon
Full Current,0.001,0.0003516706346999854,0.6,0.9333333333333332,1.0,0.9800000000000001,0.8,0.9999999216853277,1.564413323649205e-05,0.0001970827579498291,0.9999998211860657,0.09985565999522805,3.252420574426651e-05,2.4956744164228438e-05,0.3529178500175476,1.5229259729385376,2.2057363821659237e-05,7.708121299743652,1.25
No DP Baseline,0.001,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999929,1.1920928799646901e-09,1.1920928955078125e-07,1.0,4.944624379277229e-05,2.534734085202217e-05,2.232156693935394e-05,nan,nan,nan,nan,nan
Old Pipeline DP Before JL,0.001,0.00035363223287276924,0.8,0.9333333333333332,1.0,0.96,0.9,0.9999998602805921,1.6774594405433164e-05,0.00030362606048583984,0.9999998211860657,0.09525211388245225,3.9163418114185335e-05,3.3295247703790665e-05,0.3529178500175476,1.5229259729385376,1.1028681910829619e-05,7.708121299743652,1.25
No Dimension-Aware Scaling,0.001,0.005626730155199766,0.6,0.9333333333333332,1.0,0.96,0.8,0.9999805942556996,0.0002474854263709858,0.0030474066734313965,0.9999578595161438,0.12184671219438314,2.8604734688997267e-05,2.3631472140550612e-05,0.3529178500175476,1.5229259729385376,0.0003529178211465478,7.708121299743652,1.25
Fixed DP Calibration,0.001,0.0003788779431488365,0.6,0.9333333333333332,1.0,0.96,0.8,0.9999999531752385,1.8325030760024673e-05,6.687641143798828e-05,1.0,0.0019577420316636562,2.6858039200305937e-05,2.259640023112297e-05,0.3784066140651703,0.3784066438674927,2.3650418370380066e-05,4.0,4.0
Full Current,0.01,0.0035167059395462275,0.6,0.9333333333333332,1.0,0.96,0.8,0.999992331081504,0.00015531054232269524,0.0019311606884002686,0.9999836087226868,0.09397610602900386,2.779494971036911e-05,2.4142488837242126e-05,0.3529178500175476,1.5229259729385376,0.00022057368187233806,7.708121299743652,1.25
No DP Baseline,0.01,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999929,1.1920928799646901e-09,1.1920928955078125e-07,1.0,4.9958936870098114e-05,2.6323366910219193e-05,2.354094758629799e-05,nan,nan,nan,nan,nan
Old Pipeline DP Before JL,0.01,0.003536321921274066,0.8,0.9333333333333332,1.0,0.96,0.9,0.999986188242703,0.0001669525503530167,0.003082782030105591,0.9999842047691345,0.09442290710285306,3.821691498160362e-05,3.359280526638031e-05,0.3529178500175476,1.5229259729385376,0.00011028684093616903,7.708121299743652,1.25
No Dimension-Aware Scaling,0.01,0.05626729503273964,0.4,0.8,0.8400000000000001,0.9199999999999999,0.6,0.9974098367029288,0.0028800562489777804,0.03846251964569092,0.9959193468093872,0.1212131679058075,2.8753187507390976e-05,2.4415552616119385e-05,0.3529178500175476,1.5229259729385376,0.003529178909957409,7.708121299743652,1.25
Fixed DP Calibration,0.01,0.003788779489696026,0.6,0.9333333333333332,1.0,0.96,0.8,0.9999953201884904,0.0001829839951824397,0.0006649196147918701,0.999992847442627,0.0019055390730500221,2.9526837170124055e-05,2.2035930305719377e-05,0.3784066140651703,0.3784066438674927,0.00023650415823794901,4.0,4.0
Full Current,0.05,0.01758352667093277,0.6,0.9333333333333332,0.96,0.96,0.8,0.9998153918340844,0.0007680356153286994,0.00876474380493164,0.9995893836021423,0.09513487480580807,3.2333098351955415e-05,2.4995766580104828e-05,0.3529178500175476,1.5229259729385376,0.0011028682347387075,7.708121299743652,1.25
No DP Baseline,0.05,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999929,1.1920928799646901e-09,1.1920928955078125e-07,1.0,4.942901432514191e-05,2.7561094611883163e-05,2.2897496819496155e-05,nan,nan,nan,nan,nan
Old Pipeline DP Before JL,0.05,0.017681611701846123,0.6,0.9333333333333332,1.0,0.96,0.8,0.9996622759726046,0.0008239979622885584,0.016418933868408203,0.9996057152748108,0.0975943929515779,4.08967025578022e-05,3.2683182507753375e-05,0.3529178500175476,1.5229259729385376,0.0005514341173693538,7.708121299743652,1.25
No Dimension-Aware Scaling,0.05,0.2813364267349243,0.4,0.7333333333333333,0.76,0.74,0.6,0.7810596726806198,0.02953316569328308,0.3094184696674347,0.941252589225769,0.1212417371571064,2.9780156910419465e-05,2.4492386728525162e-05,0.3529178500175476,1.5229259729385376,0.01764589175581932,7.708121299743652,1.25
Fixed DP Calibration,0.05,0.018943898379802704,0.6,0.9333333333333332,0.96,0.96,0.8,0.9998832274762443,0.0009108379017561674,0.003371626138687134,0.9998210072517395,0.0019546207040548325,2.645254135131836e-05,2.3206230252981186e-05,0.3784066140651703,0.3784066438674927,0.0011825206456705928,4.0,4.0
Full Current,0.1,0.03516705334186554,0.6,0.9333333333333332,0.9199999999999999,0.9400000000000001,0.8,0.9991975104581293,0.0016166019253432752,0.02013564109802246,0.9983727931976318,0.09321587672457099,2.8473790735006332e-05,2.4113617837429046e-05,0.3529178500175476,1.5229259729385376,0.002205736469477415,7.708121299743652,1.25
No DP Baseline,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999929,1.1920928799646901e-09,1.1920928955078125e-07,1.0,4.5744702219963074e-05,2.5241728872060774e-05,2.179322764277458e-05,nan,nan,nan,nan,nan
Old Pipeline DP Before JL,0.1,0.035363223403692245,0.6,0.9333333333333332,0.9199999999999999,0.9400000000000001,0.8,0.998595102391785,0.0016856028931215405,0.03515365719795227,0.9984357357025146,0.09523930167779326,3.805030137300491e-05,3.309864550828934e-05,0.3529178500175476,1.5229259729385376,0.0011028682347387075,7.708121299743652,1.25
No Dimension-Aware Scaling,0.1,0.5626728534698486,0.0,0.6,0.56,0.7200000000000001,0.35,0.5044765937591843,0.05897836089134216,0.508755624294281,0.8789045214653015,0.12062381394207478,3.069806843996048e-05,2.442309632897377e-05,0.3529178500175476,1.5229259729385376,0.03529178351163864,7.708121299743652,1.25
Fixed DP Calibration,0.1,0.03788779675960541,0.6,0.9333333333333332,0.8799999999999999,0.96,0.8,0.9995341859077271,0.0018217625794932247,0.006871223449707031,0.9992846846580505,0.001929350197315216,2.8923805803060532e-05,2.3087393492460252e-05,0.3784066140651703,0.3784066438674927,0.0023650412913411856,4.0,4.0
Full Current,0.2,0.07033410668373108,0.4,0.8,0.8,0.9199999999999999,0.6,0.9951329500854001,0.003963572112843395,0.05266624689102173,0.9937438368797302,0.09382293513044715,2.929084002971649e-05,2.387566491961479e-05,0.3529178500175476,1.5229259729385376,0.00441147293895483,7.708121299743652,1.25
No DP Baseline,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999929,1.1920928799646901e-09,1.1920928955078125e-07,1.0,4.6720728278160095e-05,2.485150471329689e-05,2.1605007350444794e-05,nan,nan,nan,nan,nan
Old Pipeline DP Before JL,0.2,0.07072644680738449,0.6,0.8666666666666666,0.8400000000000001,0.9199999999999999,0.8,0.9929075232330902,0.003929793369024992,0.07785815000534058,0.9939723014831543,0.09398782113566995,3.932081162929535e-05,3.3991504460573195e-05,0.3529178500175476,1.5229259729385376,0.002205736469477415,7.708121299743652,1.25
No Dimension-Aware Scaling,0.2,1.1253457069396973,0.0,0.3333333333333333,0.4,0.48,0.15,0.2687237425775738,0.10469379127025605,0.6432878971099854,0.7764843106269836,0.1203521997667849,2.7616135776042937e-05,2.2853072732686996e-05,0.3529178500175476,1.5229259729385376,0.07058356702327728,7.708121299743652,1.25
Fixed DP Calibration,0.2,0.07577559351921082,0.6,0.8666666666666666,0.8399999999999999,0.9200000000000002,0.8,0.9981490356467371,0.0037001687567681076,0.01423618197441101,0.9971475005149841,0.0019192523322999477,2.6818178594112396e-05,2.2106897085905074e-05,0.3784066140651703,0.3784066438674927,0.004730082582682371,4.0,4.0
Full Current,0.5,0.1758352667093277,0.4,0.7333333333333333,0.76,0.8,0.6,0.9237846044566227,0.01604232769459486,0.180045485496521,0.9691116213798523,0.0919057629071176,2.5650672614574433e-05,2.142786979675293e-05,0.3529178500175476,1.5229259729385376,0.011028682813048363,7.708121299743652,1.25
No DP Baseline,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999929,1.1920928799646901e-09,1.1920928955078125e-07,1.0,4.171906039118767e-05,2.6498641818761826e-05,2.2464431822299957e-05,nan,nan,nan,nan,nan
Old Pipeline DP Before JL,0.5,0.17681610584259033,0.4,0.6666666666666667,0.76,0.78,0.6,0.916678415122734,0.015243681706488132,0.21376413106918335,0.970054566860199,0.09264262905344367,3.786701709032059e-05,3.3781491219997405e-05,0.3529178500175476,1.5229259729385376,0.005514341406524181,7.708121299743652,1.25
