scheme,utility_scale,mean_nsr,mean_overlap1,mean_overlap3,mean_overlap5,mean_overlap10,mean_mrr5,mean_pearson,mean_drift,max_drift,mean_direction_cosine,dp_noise_time,mean_raw_retrieval_time,mean_noised_retrieval_time,mean_sigma,max_sigma,mean_sigma_per_dim,mean_epsilon,min_epsilon,hnsw_index_build_time,representation_mode,uses_jl,vector_dim,sample_chunks,num_queries,query_seed,noise_seed,dp_delta,top_k,ef_search,hnsw_M,hnsw_ef_construction,hnsw_space,hnsw_seed
Full Current NoJL,0.001,0.00035363223287276924,0.8,0.9444444444444444,0.9533333333333333,0.9899999999999999,0.9,0.9999999591738017,7.561162086252201e-06,0.00014802813529968262,0.9999998211860657,0.10757089871913195,1.9300015022357305e-05,1.848665997385979e-05,0.3529178500175476,1.5229259729385376,1.1028681910829619e-05,7.708121299743652,1.25,0.0018458068370819092,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No DP Baseline NoJL,0.001,0.0,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,0.999999999999983,1.6391277205910862e-09,1.1920928955078125e-07,1.0,0.00019854214042425156,1.8517890324195227e-05,1.8516834825277328e-05,nan,nan,nan,nan,nan,0.0018308348953723907,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No Dimension-Aware Scaling NoJL,0.001,0.011316231451928616,0.8,0.9222222222222223,0.9466666666666668,0.9833333333333333,0.9,0.9999542595833633,0.00025531058927299457,0.005082756280899048,0.9998281598091125,0.09997076448053122,1.8339821447928747e-05,1.816926524043083e-05,0.3529178500175476,1.5229259729385376,0.0003529178211465478,7.708121299743652,1.25,0.0017201881855726242,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Fixed DP Calibration NoJL,0.001,0.00019103528757113963,0.8,0.9444444444444444,0.9533333333333333,0.9899999999999999,0.9,0.9999999954163917,4.285593824230697e-06,1.8805265426635742e-05,1.0,0.0028536356985569,1.844177022576332e-05,1.8063032378753026e-05,0.19035981595516205,0.19035984575748444,5.948746093054069e-06,7.7081217765808105,7.708121299743652,0.0017536710947751999,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Full Current NoJL,0.01,0.003536321921274066,0.8,0.9444444444444444,0.9533333333333333,0.9866666666666666,0.9,0.9999958733384012,7.616429502377287e-05,0.001511901617050171,0.9999831914901733,0.09892919566482306,1.936061307787895e-05,1.8269723902146022e-05,0.3529178500175476,1.5229259729385376,0.00011028684093616903,7.708121299743652,1.25,0.0017967335879802704,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No DP Baseline NoJL,0.01,0.0,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,0.999999999999983,1.6391277205910862e-09,1.1920928955078125e-07,1.0,0.0001860484480857849,1.8614592651526133e-05,1.818590487043063e-05,nan,nan,nan,nan,nan,0.0017833970487117767,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No Dimension-Aware Scaling NoJL,0.01,0.11316230148077011,0.6666666666666666,0.7555555555555556,0.7733333333333333,0.8166666666666665,0.7899999999999999,0.9702028142151573,0.006934979914998015,0.0913856029510498,0.9850592017173767,0.09985429234802723,1.8833143015702566e-05,1.7982814460992814e-05,0.3529178500175476,1.5229259729385376,0.003529178909957409,7.708121299743652,1.25,0.001756083220243454,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Fixed DP Calibration NoJL,0.01,0.0019103528466075659,0.8,0.9444444444444444,0.9533333333333333,0.9866666666666666,0.9,0.9999995416092503,4.2914668544350816e-05,0.00018721818923950195,0.999998152256012,0.0028263917192816734,1.8928820888201397e-05,1.8561755617459615e-05,0.19035981595516205,0.19035984575748444,5.9487447288120165e-05,7.7081217765808105,7.708121299743652,0.0017383070662617683,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Full Current NoJL,0.05,0.017681611701846123,0.8,0.9222222222222223,0.92,0.9733333333333332,0.9,0.9998753123796104,0.00042298305488657205,0.008249223232269287,0.9995812177658081,0.09732055012136698,1.889911169807116e-05,1.8644612282514572e-05,0.3529178500175476,1.5229259729385376,0.0005514341173693538,7.708121299743652,1.25,0.0017918506637215614,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No DP Baseline NoJL,0.05,0.0,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,0.999999999999983,1.6391277205910862e-09,1.1920928955078125e-07,1.0,0.00018191151320934296,1.8465612083673476e-05,1.879859094818433e-05,nan,nan,nan,nan,nan,0.0018227854743599892,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
