Degree,Dimension,Iteration,Relative_Error,Evaluation_Time
4096,128,0,0.02287987257117971,0.005947700003162026
4096,128,1,0.02269351123087497,0.005558100005146116
4096,128,2,0.021645263963955774,0.005556099989917129
4096,128,3,0.021863570162862157,0.005652399995597079
4096,128,4,0.021767135949258075,0.005348399979993701
4096,128,5,0.021366420969244012,0.0052309999882709235
4096,128,6,0.02165538523175885,0.004859299981035292
4096,128,7,0.021245262132551367,0.004934800002956763
4096,128,8,0.02258426610884833,0.004969700006768107
4096,128,9,0.021412231604961723,0.005062699987320229
4096,128,10,0.02246980630383442,0.004599899984896183
4096,128,11,0.02085848448538731,0.004532799997832626
4096,128,12,0.022834680696684442,0.004521099996054545
4096,128,13,0.02150199433036631,0.004305000009480864
4096,128,14,0.024296792317835585,0.004309799987822771
4096,128,15,0.022413212499190312,0.004224400006933138
4096,128,16,0.023309109357228106,0.0041520000086165965
4096,128,17,0.022943417912993435,0.004059500002767891
4096,128,18,0.023833707258439873,0.004008800024166703
4096,128,19,0.022136890746426625,0.004368299996713176
4096,512,0,0.016981290040630804,0.00495010000304319
4096,512,1,0.01677555067244387,0.00496930000372231
4096,512,2,0.016872960890256035,0.00526119998539798
4096,512,3,0.01679478203037827,0.005035399983171374
4096,512,4,0.016914653438173596,0.005077700014226139
4096,512,5,0.016539456806945355,0.005094899999676272
4096,512,6,0.016891766520649294,0.004893799981800839
4096,512,7,0.016860715987696166,0.004969100002199411
4096,512,8,0.016749375632857146,0.0052429999923333526
4096,512,9,0.016791752390224988,0.005205199995543808
4096,512,10,0.017146872273041715,0.005405300005804747
4096,512,11,0.017166831294371594,0.005789199989521876
4096,512,12,0.016959415570848936,0.005542900005821139
4096,512,13,0.016857567713009933,0.00620050000725314
4096,512,14,0.016581306583926106,0.006075799989048392
4096,512,15,0.016870578582382473,0.006248899997444823
4096,512,16,0.017107611810946714,0.007126299984520301
4096,512,17,0.016529755267987077,0.006866200012154877
4096,512,18,0.016746480725307582,0.007952499989187345
4096,512,19,0.016684953074045345,0.009726000018417835
4096,1024,0,0.01659920053368097,0.013716299989027902
4096,1024,1,0.016832047209899725,0.01947280002059415
4096,1024,2,0.016782978441762055,0.06682129998807795
4096,1024,3,0.01668451986360011,0.06443030000082217
4096,1024,4,0.01688579364007528,0.04431759999715723
4096,1024,5,0.016448617659155854,0.03264239997952245
4096,1024,6,0.01665185041680823,0.02350130002014339
4096,1024,7,0.01657024557713413,0.0273933999997098
4096,1024,8,0.016683539992499732,0.022582999983569607
4096,1024,9,0.016755352618021493,0.018886800011387095
4096,1024,10,0.016372989858206285,0.015235800005029887
4096,1024,11,0.01659970115470978,0.013768799981335178
4096,1024,12,0.016608213631020843,0.016857300011906773
4096,1024,13,0.016274534983304008,0.012889100005850196
4096,1024,14,0.016832656042103183,0.01212260001921095
4096,1024,15,0.016516247467813935,0.013759800000116229
4096,1024,16,0.016514383121030474,0.013635500014061108
4096,1024,17,0.016636885357077955,0.012282299983780831
4096,1024,18,0.0166436580760899,0.012627000018255785
4096,1024,19,0.016479812692005803,0.010362500004703179
4096,4096,0,0.01613926787164697,0.021722699981182814
4096,4096,1,0.01597223467807153,0.027921600005356595
4096,4096,2,0.016127707053865667,0.030085999984294176
4096,4096,3,0.01621481082995591,0.05420749998302199
4096,4096,4,0.01612376445454014,0.2006802000105381
4096,4096,5,0.0160573124379705,0.0536695999908261
4096,4096,6,0.01601281021670161,0.04683449998265132
4096,4096,7,0.016188647805870558,0.03846429998520762
4096,4096,8,0.0160853687530574,0.03096550001646392
4096,4096,9,0.01605287296983419,0.02515170001424849
