Degree,Dimension,Iteration,Relative_Error,Evaluation_Time
4096,128,0,0.01031676343451508,0.004532814025878906
4096,128,1,0.009796529153593964,0.004057168960571289
4096,128,2,0.010227013617440625,0.004048585891723633
4096,128,3,0.011188735717963125,0.004036426544189453
4096,128,4,0.010893043646093383,0.004069805145263672
4096,128,5,0.009890797720970596,0.003987789154052734
4096,128,6,0.010641095058903588,0.004040718078613281
4096,128,7,0.012012080804968751,0.004010200500488281
4096,128,8,0.01044480939041138,0.004009723663330078
4096,128,9,0.010533981312230734,0.004004955291748047
4096,128,10,0.010746379930068772,0.004033327102661133
4096,128,11,0.011064480629422122,0.004032135009765625
4096,128,12,0.009777994330783423,0.004207611083984375
4096,128,13,0.010833247087861401,0.004387855529785156
4096,128,14,0.008581331267058866,0.004416465759277344
4096,128,15,0.010918031879433661,0.0044057369232177734
4096,128,16,0.010302214558920188,0.004535198211669922
4096,128,17,0.009987567768377968,0.0046062469482421875
4096,128,18,0.00825335704520215,0.004840850830078125
4096,128,19,0.01156160596546249,0.005087375640869141
4096,512,0,0.014481317766901942,0.006161689758300781
4096,512,1,0.01447059700716332,0.0066182613372802734
4096,512,2,0.014987388157548036,0.006839752197265625
4096,512,3,0.014711327953801078,0.007043123245239258
4096,512,4,0.014568911597988659,0.007278919219970703
4096,512,5,0.014448812246552607,0.00770878791809082
4096,512,6,0.014316707967787832,0.008308887481689453
4096,512,7,0.014772712661813117,0.008419990539550781
4096,512,8,0.014337203485338764,0.008286476135253906
4096,512,9,0.014897892248545397,0.00852346420288086
4096,512,10,0.014757027434502025,0.009234905242919922
4096,512,11,0.014311263316799638,0.008961915969848633
4096,512,12,0.01408806497869784,0.008933067321777344
4096,512,13,0.014305397885108904,0.008906126022338867
4096,512,14,0.014157105649048658,0.008924245834350586
4096,512,15,0.014538768082821002,0.008350610733032227
4096,512,16,0.01420533349128848,0.008847951889038086
4096,512,17,0.014521166201737538,0.00850820541381836
4096,512,18,0.01409291813895302,0.008373498916625977
4096,512,19,0.013661722086064657,0.008922576904296875
4096,1024,0,0.015245647889997948,0.009735107421875
4096,1024,1,0.015511083313161915,0.013515233993530273
4096,1024,2,0.015371807477142865,0.01575469970703125
4096,1024,3,0.015363722956667394,0.015894412994384766
4096,1024,4,0.014908639755790404,0.014363765716552734
4096,1024,5,0.015174317364891348,0.014170408248901367
4096,1024,6,0.01502893142609726,0.01578497886657715
4096,1024,7,0.015395064579593765,0.018218040466308594
4096,1024,8,0.015305273228243415,0.04632997512817383
4096,1024,9,0.0152848214866941,0.041473388671875
4096,1024,10,0.015156403468306117,0.022562265396118164
4096,1024,11,0.015501522023968928,0.017398357391357422
4096,1024,12,0.01523978355459947,0.0167086124420166
4096,1024,13,0.015217305961775205,0.012827396392822266
4096,1024,14,0.015121444999561102,0.011387109756469727
4096,1024,15,0.015473299444472866,0.009887456893920898
4096,1024,16,0.015404654900961063,0.007916688919067383
4096,1024,17,0.015322046951112469,0.006960630416870117
4096,1024,18,0.015049648764700515,0.0063402652740478516
4096,1024,19,0.01517351178842359,0.006029844284057617
4096,4096,0,0.015543266927588456,0.012355804443359375
4096,4096,1,0.01562934617492193,0.01126861572265625
4096,4096,2,0.01564150311074052,0.010164260864257812
4096,4096,3,0.015683709627030806,0.00950312614440918
4096,4096,4,0.015749885026911853,0.009054183959960938
4096,4096,5,0.015689762186935685,0.008521795272827148
4096,4096,6,0.01572592022063961,0.008326292037963867
4096,4096,7,0.015576606770896182,0.00805974006652832
4096,4096,8,0.01560217317505529,0.008345603942871094
4096,4096,9,0.01554108663726692,0.008249759674072266
4096,4096,10,0.015569122212587971,0.0077054500579833984
4096,4096,11,0.01570009624158504,0.007609844207763672
4096,4096,12,0.015677475516143374,0.007409095764160156
4096,4096,13,0.01571178287722137,0.007266521453857422
4096,4096,14,0.015734434762783907,0.007004976272583008
4096,4096,15,0.015781240311289052,0.00690770149230957
4096,4096,16,0.01566780829755467,0.0068264007568359375
4096,4096,17,0.015639637016123868,0.006666421890258789
4096,4096,18,0.015655308531007897,0.006751537322998047
4096,4096,19,0.015634341187159086,0.00653386116027832
4096,16384,0,0.015673691479957785,0.027621030807495117
4096,16384,1,0.015645026917542038,0.03181862831115723
4096,16384,2,0.015615405234749805,0.039180755615234375
4096,16384,3,0.01565034728468307,0.0661783218383789
4096,16384,4,0.015624041645681437,0.2251131534576416
4096,16384,5,0.01568203654898812,0.06685662269592285
4096,16384,6,0.015669014885715506,0.03882288932800293
4096,16384,7,0.01573061915353424,0.032366275787353516
4096,16384,8,0.01567868184043859,0.029808759689331055
4096,16384,9,0.015742161441026834,0.02748417854309082
4096,16384,10,0.015665078990937865,0.025913476943969727
4096,16384,11,0.01574333352748772,0.027193784713745117
4096,16384,12,0.015631476056194197,0.030663728713989258
4096,16384,13,0.015658927301865255,0.031375885009765625
4096,16384,14,0.015693227201502402,0.03449654579162598
4096,16384,15,0.015682482108882064,0.04267311096191406
4096,16384,16,0.015686100994812182,0.06449103355407715
4096,16384,17,0.015670303035688945,0.31420230865478516
4096,16384,18,0.015619915533292674,0.0792837142944336
4096,16384,19,0.015620476015687503,0.046668291091918945
4096,65536,0,0.0156638857550892,0.11968016624450684
4096,65536,1,0.015665719988647405,0.10999703407287598
4096,65536,2,0.015653514600313022,0.13313508033752441
4096,65536,3,0.015696620234670722,0.3049752712249756
4096,65536,4,0.015686489690144932,0.11187911033630371
4096,65536,5,0.015634926373342545,0.11813521385192871
4096,65536,6,0.01566111163697992,0.6812546253204346
4096,65536,7,0.01566355697816353,0.11522197723388672
4096,65536,8,0.01565923754131703,0.1068885326385498
4096,65536,9,0.015693030953498856,0.12750601768493652
4096,65536,10,0.015663303667101672,0.3567466735839844
4096,65536,11,0.015684989336774764,0.12272024154663086
4096,65536,12,0.01569862188044063,0.1198270320892334
4096,65536,13,0.01568336076890293,0.16391205787658691
4096,65536,14,0.015673096167486456,0.1681051254272461
4096,65536,15,0.015712012424677523,0.10801315307617188
4096,65536,16,0.01568608386977096,0.11869001388549805
4096,65536,17,0.015643434649877833,0.6772003173828125
4096,65536,18,0.015652525654550043,0.12826800346374512
4096,65536,19,0.015664471357887937,0.1392972469329834
4096,262144,0,0.015650930604009454,0.5110306739807129
4096,262144,1,0.015671092671150473,0.4893455505371094
4096,262144,2,0.015681811221163234,0.5210354328155518
4096,262144,3,0.015664795487090592,1.1139757633209229
4096,262144,4,0.01566466277853578,1.1610901355743408
4096,262144,5,0.015670156928513094,1.125098705291748
4096,262144,6,0.015661681174548116,0.47573304176330566
4096,262144,7,0.015669070443982445,0.5500454902648926
4096,262144,8,0.015649632611731364,0.6235918998718262
4096,262144,9,0.015674668051672322,1.135697603225708
4096,262144,10,0.015671343907046893,1.0912361145019531
4096,262144,11,0.015655417163210544,0.5989830493927002
4096,262144,12,0.0156808183317527,1.1561169624328613
4096,262144,13,0.015650229587173384,1.953470230102539
4096,262144,14,0.01568980369518341,1.566253423690796
4096,262144,15,0.015667743358163472,1.4770195484161377
4096,262144,16,0.01566920148168633,1.3851702213287354
4096,262144,17,0.015680763611664227,1.2667629718780518
4096,262144,18,0.01565824646778384,1.3895442485809326
4096,262144,19,0.015669466647578362,1.0419516563415527
8192,128,0,1.3815310252538164e-07,0.009673833847045898
8192,128,1,1.3823404875332927e-07,0.008461236953735352
8192,128,2,1.3772048279539003e-07,0.008568286895751953
8192,128,3,1.3705709548171395e-07,0.00869441032409668
8192,128,4,1.3668052975933144e-07,0.008792877197265625
8192,128,5,1.379969204330388e-07,0.009042501449584961
8192,128,6,1.3675989751269757e-07,0.009131193161010742
8192,128,7,1.3771427665548553e-07,0.009519815444946289
8192,128,8,1.3759255837753658e-07,0.010027170181274414
8192,128,9,1.3829383106253653e-07,0.010477066040039062
8192,128,10,1.3653962252091172e-07,0.011405467987060547
8192,128,11,1.3743863382231635e-07,0.011377811431884766
8192,128,12,1.4009549368541975e-07,0.011391878128051758
8192,128,13,1.3544429567206963e-07,0.012535810470581055
8192,128,14,1.401775313083642e-07,0.013120174407958984
8192,128,15,1.3683183808450317e-07,0.014876365661621094
8192,128,16,1.3680126621740498e-07,0.016750097274780273
8192,128,17,1.38232252191031e-07,0.02609992027282715
8192,128,18,1.3879236454048266e-07,0.11300396919250488
