backend_type,beta,cipher_expansion_ratio,ciphertext_size_kb,ef_search,he_absolute_error_mean,he_refine_time,he_relative_error_mean,he_scan_time,hnsw_mrr_at_5,hnsw_recall_at_5,index_build_time,mean_epsilon,mean_noise_signal_ratio,mean_query_time,mean_sigma,metadata_beta,metadata_clip_lower,metadata_clip_upper,metadata_coeff_mod_bit_sizes,metadata_distance_metric,metadata_dp_delta,metadata_encryption_scheme,metadata_global_scale,metadata_hnsw_space,metadata_jl_effective_target_dim,metadata_jl_target_dim,metadata_mean_epsilon,metadata_mean_noise_signal_ratio,metadata_mean_sigma,metadata_normalization_note,metadata_poly_modulus_degree,metadata_privacy_claim,metadata_projection_dim,metadata_projection_sigma,metadata_random_seed,metadata_ratio_k,metadata_refine,metadata_representation_label,metadata_representation_mode,metadata_s,metadata_sap_noise_signal_ratio,metadata_security_boundary,metadata_uses_dp,metadata_uses_encryption,metadata_uses_jl,metadata_utility_scale,metadata_vector_dim,plain_size_kb,ratio_k,retrieval_cipher_expansion_ratio,retrieval_ciphertext_size_kb,retrieval_he_absolute_error_mean,retrieval_he_relative_error_mean,retrieval_he_scan_time,retrieval_plain_size_kb,sap_noise_signal_ratio,scheme,vector_dim
hnsw,nan,nan,nan,16,nan,nan,nan,nan,0.8,0.96,0.002513093873858452,7.708121299743652,0.003536321921274066,1.3910420238971711e-05,0.3529178500175476,,,,,cosine,1e-05,,,cosine,,256,7.708121299743652,0.003536321921274066,0.3529178500175476,,,,,,,,,Our DP-RAG-NoJL,no_jl,,,,True,False,False,0.01,1024,nan,nan,,,,,,,nan,Our DP-RAG-NoJL,1024
hnsw,nan,nan,nan,32,nan,nan,nan,nan,0.8,0.96,0.0018339874222874641,7.708121299743652,0.003536321921274066,1.4771334826946259e-05,0.3529178500175476,,,,,cosine,1e-05,,,cosine,,256,7.708121299743652,0.003536321921274066,0.3529178500175476,,,,,,,,,Our DP-RAG-NoJL,no_jl,,,,True,False,False,0.01,1024,nan,nan,,,,,,,nan,Our DP-RAG-NoJL,1024
hnsw,nan,nan,nan,64,nan,nan,nan,nan,0.8,0.96,0.0017552589997649193,7.708121299743652,0.003536321921274066,1.9777566194534302e-05,0.3529178500175476,,,,,cosine,1e-05,,,cosine,,256,7.708121299743652,0.003536321921274066,0.3529178500175476,,,,,,,,,Our DP-RAG-NoJL,no_jl,,,,True,False,False,0.01,1024,nan,nan,,,,,,,nan,Our DP-RAG-NoJL,1024
hnsw,nan,nan,nan,128,nan,nan,nan,nan,0.8,0.96,0.001756829209625721,7.708121299743652,0.003536321921274066,2.2499449551105498e-05,0.3529178500175476,,,,,cosine,1e-05,,,cosine,,256,7.708121299743652,0.003536321921274066,0.3529178500175476,,,,,,,,,Our DP-RAG-NoJL,no_jl,,,,True,False,False,0.01,1024,nan,nan,,,,,,,nan,Our DP-RAG-NoJL,1024
hnsw,nan,nan,nan,256,nan,nan,nan,nan,0.8,0.96,0.001734570600092411,7.708121299743652,0.003536321921274066,2.2056326270103454e-05,0.3529178500175476,,,,,cosine,1e-05,,,cosine,,256,7.708121299743652,0.003536321921274066,0.3529178500175476,,,,,,,,,Our DP-RAG-NoJL,no_jl,,,,True,False,False,0.01,1024,nan,nan,,,,,,,nan,Our DP-RAG-NoJL,1024
hnsw,nan,nan,nan,16,nan,nan,nan,nan,0.36666666666666664,0.32,0.0008848924189805984,nan,nan,7.769651710987091e-06,nan,,1.0,2.0,,l2,,,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",,empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,,False,False,True,,64,nan,nan,,,,,,,nan,Private RAG-RP,64
hnsw,nan,nan,nan,32,nan,nan,nan,nan,0.36666666666666664,0.28,0.0008447691798210144,nan,nan,9.638071060180663e-06,nan,,1.0,2.0,,l2,,,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",,empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,,False,False,True,,64,nan,nan,,,,,,,nan,Private RAG-RP,64
hnsw,nan,nan,nan,64,nan,nan,nan,nan,0.36666666666666664,0.28,0.0008049067109823227,nan,nan,1.2003630399703979e-05,nan,,1.0,2.0,,l2,,,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",,empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,,False,False,True,,64,nan,nan,,,,,,,nan,Private RAG-RP,64
hnsw,nan,nan,nan,128,nan,nan,nan,nan,0.36666666666666664,0.28,0.0007821079343557358,nan,nan,1.3906694948673249e-05,nan,,1.0,2.0,,l2,,,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",,empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,,False,False,True,,64,nan,nan,,,,,,,nan,Private RAG-RP,64
hnsw,nan,nan,nan,256,nan,nan,nan,nan,0.36666666666666664,0.28,0.0007919613271951675,nan,nan,1.4283880591392518e-05,nan,,1.0,2.0,,l2,,,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",,empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,,False,False,True,,64,nan,nan,,,,,,,nan,Private RAG-RP,64
hnsw_filter_refine,0.1,nan,nan,16,nan,nan,nan,nan,0.8,0.96,0.002120126038789749,nan,0.024978388100862503,3.7252157926559446e-05,nan,0.1,,,,l2,,,,l2,,,nan,0.024978388100862503,nan,,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.024978388100862503,,False,True,False,,1024,nan,4.0,,,,,,,0.024978388100862503,DCPE+DCE,1024
hnsw_filter_refine,0.1,nan,nan,32,nan,nan,nan,nan,0.8,0.96,0.002092023380100727,nan,0.024978388100862503,3.983229398727417e-05,nan,0.1,,,,l2,,,,l2,,,nan,0.024978388100862503,nan,,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.024978388100862503,,False,True,False,,1024,nan,4.0,,,,,,,0.024978388100862503,DCPE+DCE,1024
hnsw_filter_refine,0.1,nan,nan,64,nan,nan,nan,nan,0.8,0.96,0.002094293013215065,nan,0.024978388100862503,4.1161291301250456e-05,nan,0.1,,,,l2,,,,l2,,,nan,0.024978388100862503,nan,,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.024978388100862503,,False,True,False,,1024,nan,4.0,,,,,,,0.024978388100862503,DCPE+DCE,1024
hnsw_filter_refine,0.1,nan,nan,128,nan,nan,nan,nan,0.8,0.96,0.002098985016345978,nan,0.024978388100862503,4.531238228082657e-05,nan,0.1,,,,l2,,,,l2,,,nan,0.024978388100862503,nan,,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.024978388100862503,,False,True,False,,1024,nan,4.0,,,,,,,0.024978388100862503,DCPE+DCE,1024
hnsw_filter_refine,0.1,nan,nan,256,nan,nan,nan,nan,0.8,0.96,0.002098863013088703,nan,0.024978388100862503,4.542246460914612e-05,nan,0.1,,,,l2,,,,l2,,,nan,0.024978388100862503,nan,,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.024978388100862503,,False,True,False,,1024,nan,4.0,,,,,,,0.024978388100862503,DCPE+DCE,1024
ckks_full_scan,nan,40.80644775390625,652.9031640625,64,2.9190602532234154e-06,nan,2.3903496799432086e-06,1.6532788714393973,0.9,0.96,0.0,nan,nan,1.6532788714393973,nan,,,,"60,40,40,60",squared_l2,,CKKS,1099511627776.0,l2,,,nan,nan,nan,,8192,,,,,4,,,,,,full_scan_ckks_distance,False,True,False,,1024,16.0,4.0,40.80644775390625,652.9031640625,2.9190602532234154e-06,2.3903496799432086e-06,1.6532788714393973,16.0,nan,PartialHE-CKKS-FullScan,1024
