backend_type,beta,cipher_expansion_ratio,ciphertext_size_kb,dataset_size_label,ef_search,he_absolute_error_mean,he_refine_time,he_relative_error_mean,he_scan_time,hnsw_mrr_at_5,hnsw_recall_at_5,index_build_time,mean_epsilon,mean_noise_signal_ratio,mean_query_time,mean_sigma,metadata_beta,metadata_clip_lower,metadata_clip_upper,metadata_distance_metric,metadata_dp_delta,metadata_hnsw_space,metadata_jl_effective_target_dim,metadata_jl_target_dim,metadata_mean_epsilon,metadata_mean_noise_signal_ratio,metadata_mean_sigma,metadata_normalization_note,metadata_privacy_claim,metadata_projection_dim,metadata_projection_sigma,metadata_random_seed,metadata_ratio_k,metadata_refine,metadata_representation_label,metadata_representation_mode,metadata_s,metadata_sap_noise_signal_ratio,metadata_uses_dp,metadata_uses_encryption,metadata_uses_jl,metadata_utility_scale,metadata_vector_dim,num_queries,plain_size_kb,ratio_k,representation_mode,sample_chunks,sap_noise_signal_ratio,scale_stage,scheme,uses_jl,vector_dim
hnsw,nan,nan,nan,100 chunks,64,nan,nan,nan,nan,1.0,0.9800000000000001,0.0026252102106809616,7.708121299743652,0.003536321921274066,1.9015185534954072e-05,0.3529178500175476,,,,cosine,1e-05,cosine,,256,7.708121299743652,0.003536321921274066,0.3529178500175476,,,,,,,,Our DP-RAG-NoJL,no_jl,,,True,False,False,0.01,1024,30,nan,nan,no_jl,100,nan,100,Our DP-RAG-NoJL,False,1024
hnsw,nan,nan,nan,100 chunks,64,nan,nan,nan,nan,0.7883333333333333,0.7200000000000002,0.001615758053958416,7.708121299743652,0.0035353831481188536,1.6356228540341058e-05,0.3529178500175476,,,,cosine,1e-05,cosine,768,768,7.708121299743652,0.0035353831481188536,0.3529178500175476,,,,,,,,Our DP-RAG-JL768,jl,,,True,False,True,0.01,768,30,nan,nan,jl,100,nan,100,Our DP-RAG-JL768,True,768
hnsw,nan,nan,nan,100 chunks,64,nan,nan,nan,nan,0.6633333333333334,0.5866666666666667,0.0010487576946616173,7.708121299743652,0.0035167059395462275,1.2060099591811497e-05,0.3529178500175476,,,,cosine,1e-05,cosine,256,256,7.708121299743652,0.0035167059395462275,0.3529178500175476,,,,,,,,Our DP-RAG-JL256,jl,,,True,False,True,0.01,256,30,nan,nan,jl,100,nan,100,Our DP-RAG-JL256,True,256
hnsw,nan,nan,nan,100 chunks,64,nan,nan,nan,nan,0.30277777777777776,0.28,0.0008981609717011452,nan,nan,1.0935589671134949e-05,nan,,1.0,2.0,l2,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,False,False,True,,64,30,nan,nan,,100,nan,100,Private RAG-RP,True,64
hnsw_filter_refine,0.1,nan,nan,100 chunks,64,nan,nan,nan,nan,1.0,0.9733333333333333,0.002147265709936619,nan,0.024978388100862503,3.572854523857434e-05,nan,0.1,,,l2,,l2,,,nan,0.024978388100862503,nan,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.024978388100862503,False,True,False,,1024,30,nan,4.0,,100,0.024978388100862503,100,DCPE+DCE,False,1024
hnsw,nan,nan,nan,300 chunks,64,nan,nan,nan,nan,0.9444444444444444,0.9933333333333334,0.003371419385075569,6.697946548461914,0.005157638341188431,3.456731016437213e-05,0.515958845615387,,,,cosine,1e-05,cosine,,256,6.697946548461914,0.005157638341188431,0.515958845615387,,,,,,,,Our DP-RAG-NoJL,no_jl,,,True,False,False,0.01,1024,30,nan,nan,no_jl,300,nan,300,Our DP-RAG-NoJL,False,1024
hnsw,nan,nan,nan,300 chunks,64,nan,nan,nan,nan,0.726111111111111,0.6066666666666667,0.0028155483305454254,6.697946548461914,0.0051782624796032906,3.017683823903402e-05,0.515958845615387,,,,cosine,1e-05,cosine,768,768,6.697946548461914,0.0051782624796032906,0.515958845615387,,,,,,,,Our DP-RAG-JL768,jl,,,True,False,True,0.01,768,30,nan,nan,jl,300,nan,300,Our DP-RAG-JL768,True,768
hnsw,nan,nan,nan,300 chunks,64,nan,nan,nan,nan,0.505,0.5066666666666667,0.0022117579355835915,6.697946548461914,0.005155713297426701,1.8754228949546815e-05,0.515958845615387,,,,cosine,1e-05,cosine,256,256,6.697946548461914,0.005155713297426701,0.515958845615387,,,,,,,,Our DP-RAG-JL256,jl,,,True,False,True,0.01,256,30,nan,nan,jl,300,nan,300,Our DP-RAG-JL256,True,256
hnsw,nan,nan,nan,300 chunks,64,nan,nan,nan,nan,0.16500000000000004,0.18666666666666668,0.011367875151336193,nan,nan,1.872557525833448e-05,nan,,1.0,2.0,l2,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,False,False,True,,64,30,nan,nan,,300,nan,300,Private RAG-RP,True,64
hnsw_filter_refine,0.1,nan,nan,300 chunks,64,nan,nan,nan,nan,0.95,1.0,0.012533305212855339,nan,0.02497497946023941,6.623966619372368e-05,nan,0.1,,,l2,,l2,,,nan,0.02497497946023941,nan,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.02497497946023941,False,True,False,,1024,30,nan,4.0,,300,0.02497497946023941,300,DCPE+DCE,False,1024
hnsw,nan,nan,nan,500 chunks,64,nan,nan,nan,nan,0.95,0.9600000000000001,0.0056360820308327675,6.248959064483643,0.0055864364840090275,4.071680208047231e-05,0.5583876371383667,,,,cosine,1e-05,cosine,,256,6.248959064483643,0.0055864364840090275,0.5583876371383667,,,,,,,,Our DP-RAG-NoJL,no_jl,,,True,False,False,0.01,1024,30,nan,nan,no_jl,500,nan,500,Our DP-RAG-NoJL,False,1024
hnsw,nan,nan,nan,500 chunks,64,nan,nan,nan,nan,0.7188888888888889,0.5600000000000002,0.003991065546870232,6.248959064483643,0.005588943604379892,3.634303187330564e-05,0.5583876371383667,,,,cosine,1e-05,cosine,768,768,6.248959064483643,0.005588943604379892,0.5583876371383667,,,,,,,,Our DP-RAG-JL768,jl,,,True,False,True,0.01,768,30,nan,nan,jl,500,nan,500,Our DP-RAG-JL768,True,768
hnsw,nan,nan,nan,500 chunks,64,nan,nan,nan,nan,0.38277777777777783,0.43333333333333346,0.003099696710705757,6.248959064483643,0.005593630485236645,2.3109186440706252e-05,0.5583876371383667,,,,cosine,1e-05,cosine,256,256,6.248959064483643,0.005593630485236645,0.5583876371383667,,,,,,,,Our DP-RAG-JL256,jl,,,True,False,True,0.01,256,30,nan,nan,jl,500,nan,500,Our DP-RAG-JL256,True,256
hnsw,nan,nan,nan,500 chunks,64,nan,nan,nan,nan,0.16777777777777778,0.14666666666666667,0.007604568265378475,nan,nan,2.815220504999161e-05,nan,,1.0,2.0,l2,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,False,False,True,,64,30,nan,nan,,500,nan,500,Private RAG-RP,True,64
hnsw_filter_refine,0.1,nan,nan,500 chunks,64,nan,nan,nan,nan,0.9833333333333333,1.0,0.025008383207023144,nan,0.02497757598757744,0.0002135260341068109,nan,0.1,,,l2,,l2,,,nan,0.02497757598757744,nan,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.02497757598757744,False,True,False,,1024,30,nan,4.0,,500,0.02497757598757744,500,DCPE+DCE,False,1024
hnsw,nan,nan,nan,1000 chunks,64,nan,nan,nan,nan,0.9833333333333333,0.92,0.009365828707814217,6.162075996398926,0.005944923963397741,5.313012128074964e-05,0.5946938395500183,,,,cosine,1e-05,cosine,,256,6.162075996398926,0.005944923963397741,0.5946938395500183,,,,,,,,Our DP-RAG-NoJL,no_jl,,,True,False,False,0.01,1024,30,nan,nan,no_jl,1000,nan,1000,Our DP-RAG-NoJL,False,1024
hnsw,nan,nan,nan,1000 chunks,64,nan,nan,nan,nan,0.7177777777777778,0.6000000000000001,0.008497918024659157,6.162075996398926,0.005947398953139782,4.591854910055796e-05,0.5946938395500183,,,,cosine,1e-05,cosine,768,768,6.162075996398926,0.005947398953139782,0.5946938395500183,,,,,,,,Our DP-RAG-JL768,jl,,,True,False,True,0.01,768,30,nan,nan,jl,1000,nan,1000,Our DP-RAG-JL768,True,768
hnsw,nan,nan,nan,1000 chunks,64,nan,nan,nan,nan,0.38055555555555554,0.3066666666666667,0.005662195384502411,6.162075996398926,0.0059462301433086395,4.519987851381302e-05,0.5946938395500183,,,,cosine,1e-05,cosine,256,256,6.162075996398926,0.0059462301433086395,0.5946938395500183,,,,,,,,Our DP-RAG-JL256,jl,,,True,False,True,0.01,256,30,nan,nan,jl,1000,nan,1000,Our DP-RAG-JL256,True,256
hnsw,nan,nan,nan,1000 chunks,64,nan,nan,nan,nan,0.09666666666666666,0.10666666666666667,0.02192859910428524,nan,nan,2.3902859538793564e-05,nan,,1.0,2.0,l2,,l2,,,nan,nan,nan,"input vectors are L2-normalized and satisfy gamma=1, Delta=2",empirical_random_projection_only_no_formal_dp_epsilon,64,0.1,42,,,,,,,False,False,True,,64,30,nan,nan,,1000,nan,1000,Private RAG-RP,True,64
hnsw_filter_refine,0.1,nan,nan,1000 chunks,64,nan,nan,nan,nan,0.9833333333333333,0.9466666666666668,0.05044505279511213,nan,0.02497590333223343,9.409220268328985e-05,nan,0.1,,,l2,,l2,,,nan,0.02497590333223343,nan,,,,,,4,exact_distance_equivalent_to_DCE,,,32.0,0.02497590333223343,False,True,False,,1024,30,nan,4.0,,1000,0.02497590333223343,1000,DCPE+DCE,False,1024
