jl_target_dim,representation_type,representation_label,is_no_jl,utility_scale,sampled_chunks,num_queries,ef_search,jl_recall_at_5,jl_mrr_at_5,final_exact_recall_at_5,final_hnsw_recall_at_5,final_hnsw_mrr_at_5,dp_recall_at_5,dp_mrr_at_5,dp_loss_at_5,mean_noise_signal_ratio,mean_direction_cosine,hnsw_recall_at_5,hnsw_mrr_at_5,mean_hnsw_query_time,hnsw_index_build_time,vector_dim,estimated_storage_mb,mean_exact_query_time,mean_jl_exact_query_time
128,JL,128d JL,False,0.001,100,30,64,0.4066666666666667,0.6083333333333333,0.41333333333333333,0.41333333333333333,0.5916666666666667,0.9866666666666667,0.9333333333333333,0.013333333333333308,0.0003532746257588395,0.9999998211860657,1.0,1.0,1.0234427948792775e-05,0.0014650523662567139,128,0.048828125,2.7703121304512023e-06,4.578692217667897e-06
128,JL,128d JL,False,0.005,100,30,64,0.4066666666666667,0.6083333333333333,0.41333333333333333,0.41333333333333333,0.5916666666666667,0.9866666666666667,0.9333333333333333,0.013333333333333308,0.0017663731407995275,0.9999959468841553,1.0,1.0,1.0106464227040609e-05,0.0008013509213924408,128,0.048828125,2.7166369060675303e-06,4.578692217667897e-06
128,JL,128d JL,False,0.01,100,30,64,0.4066666666666667,0.6083333333333333,0.41333333333333333,0.41333333333333333,0.586111111111111,0.9866666666666667,0.9333333333333333,0.013333333333333308,0.003532746281599055,0.9999831318855286,1.0,1.0,1.011493926246961e-05,0.000758076086640358,128,0.048828125,2.6425657172997793e-06,4.578692217667897e-06
128,JL,128d JL,False,0.05,100,30,64,0.4066666666666667,0.6083333333333333,0.4066666666666667,0.4066666666666667,0.586111111111111,0.9533333333333334,0.9333333333333333,0.046666666666666634,0.0176637312904158,0.9995810985565186,1.0,1.0,1.0806042701005935e-05,0.0008665621280670166,128,0.048828125,2.9788662989934285e-06,4.578692217667897e-06
128,JL,128d JL,False,0.1,100,30,64,0.4066666666666667,0.6083333333333333,0.41333333333333333,0.41333333333333333,0.5916666666666666,0.9000000000000001,0.9333333333333333,0.09999999999999987,0.0353274625808316,0.99834144115448,1.0,1.0,1.0378472506999969e-05,0.0008797682821750641,128,0.048828125,2.8979964554309843e-06,4.578692217667897e-06
256,JL,256d JL,False,0.001,100,30,64,0.5733333333333335,0.7161111111111111,0.5733333333333335,0.5733333333333335,0.6827777777777778,0.9933333333333334,0.95,0.006666666666666599,0.0003516705666039607,0.9999998211860657,1.0,1.0,1.099879542986552e-05,0.0009190235286951065,256,0.09765625,3.0239733556906383e-06,5.015389372905096e-06
256,JL,256d JL,False,0.005,100,30,64,0.5733333333333335,0.7161111111111111,0.5866666666666667,0.5866666666666667,0.6827777777777778,0.9800000000000001,0.95,0.019999999999999907,0.00175835282516177,0.9999959468841553,1.0,1.0,1.1321001996596655e-05,0.0008664531633257866,256,0.09765625,3.3068470656871794e-06,5.015389372905096e-06
256,JL,256d JL,False,0.01,100,30,64,0.5733333333333335,0.7161111111111111,0.5866666666666667,0.5866666666666667,0.68,0.9800000000000001,0.95,0.019999999999999907,0.00351670565032354,0.9999836087226868,1.0,1.0,1.1194124817848206e-05,0.0008794320747256279,256,0.09765625,3.0670315027236937e-06,5.015389372905096e-06
256,JL,256d JL,False,0.05,100,30,64,0.5733333333333335,0.7161111111111111,0.6000000000000001,0.6000000000000001,0.6811111111111112,0.9533333333333334,0.9333333333333333,0.046666666666666634,0.01758352820388741,0.9995893836021423,1.0,1.0,1.1247148116429646e-05,0.0008783023804426193,256,0.09765625,3.240754206975301e-06,5.015389372905096e-06
256,JL,256d JL,False,0.1,100,30,64,0.5733333333333335,0.7161111111111111,0.5866666666666666,0.5866666666666666,0.6066666666666667,0.9066666666666667,0.8444444444444444,0.09333333333333327,0.03516705640777482,0.9983727931976318,1.0,1.0,1.1117725322643917e-05,0.0008824607357382774,256,0.09765625,3.1004038949807485e-06,5.015389372905096e-06
384,JL,384d JL,False,0.001,100,30,64,0.6733333333333333,0.7094444444444444,0.6733333333333333,0.6733333333333333,0.676111111111111,0.9866666666666667,0.95,0.013333333333333308,0.0003553027354677235,0.9999998211860657,1.0,1.0,1.322148988644282e-05,0.0011723442003130913,384,0.146484375,3.838477035363516e-06,5.491698781649272e-06
384,JL,384d JL,False,0.005,100,30,64,0.6733333333333333,0.7094444444444444,0.6733333333333333,0.6733333333333333,0.676111111111111,0.9866666666666667,0.95,0.013333333333333308,0.00177651364248678,0.9999958872795105,1.0,1.0,1.2901891022920608e-05,0.0011109523475170135,384,0.146484375,3.6097442110379538e-06,5.491698781649272e-06
384,JL,384d JL,False,0.01,100,30,64,0.6733333333333333,0.7094444444444444,0.6733333333333333,0.6733333333333333,0.676111111111111,0.9866666666666667,0.95,0.013333333333333308,0.00355302728497356,0.999983012676239,1.0,1.0,1.2443338831265767e-05,0.0010481290519237518,384,0.146484375,3.463433434565862e-06,5.491698781649272e-06
384,JL,384d JL,False,0.05,100,30,64,0.6733333333333333,0.7094444444444444,0.6666666666666666,0.6666666666666666,0.6694444444444444,0.9533333333333334,0.95,0.046666666666666634,0.01776513640856965,0.999574601650238,1.0,1.0,1.2532652666171392e-05,0.0010397499427199364,384,0.146484375,3.42900554339091e-06,5.491698781649272e-06
384,JL,384d JL,False,0.1,100,30,64,0.6733333333333333,0.7094444444444444,0.6533333333333332,0.6533333333333332,0.6649999999999999,0.9400000000000001,0.9333333333333333,0.05999999999999994,0.0355302728171393,0.9983108043670654,1.0,1.0,1.2574189652999241e-05,0.0010475125163793564,384,0.146484375,3.467965871095657e-06,5.491698781649272e-06
